"Entity","Aliases","Toxicity","Purification_Keywords"
"ශුද්ධ ගොඩකදුරු ඇට","ශුද්ධ විෂමූල, කුපීලු ඇට","High","ගොම දියරේ බහා, එළකිරි"
"ශුද්ධ ගොඩකදුරු යුෂ","ශුද්ධ විෂමූල, කුපීලු යුෂ","High","ගොම දියරේ බහා, එළකිරි"
"ශුද්ධ ගොඩකදුරු තෛලය","ශුද්ධ විෂමූල, කුපීලු තෛලය","High","ගොම දියරේ බහා, එළකිරි"
"ශුද්ධ ගොඩකදුරු චූර්ණය","ශුද්ධ විෂමූල, කුපීලු චූර්ණය","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු මුල්","අශුද්ධ විෂමූල, කුපීලු මුල්","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු පොතු","අශුද්ධ විෂමූල, කුපීලු පොතු","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු කොළ","අශුද්ධ විෂමූල, කුපීලු කොළ","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු මල්","අශුද්ධ විෂමූල, කුපීලු මල්","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු ගෙඩි","අශුද්ධ විෂමූල, කුපීලු ගෙඩි","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු ඇට","අශුද්ධ විෂමූල, කුපීලු ඇට","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු යුෂ","අශුද්ධ විෂමූල, කුපීලු යුෂ","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු තෛලය","අශුද්ධ විෂමූල, කුපීලු තෛලය","High","ගොම දියරේ බහා, එළකිරි"
"අශුද්ධ ගොඩකදුරු චූර්ණය","අශුද්ධ විෂමූල, කුපීලු චූර්ණය","High","ගොම දියරේ බහා, එළකිරි"
"අමු වත්සනාභ මුල්","අමු මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ පොතු","අමු මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ කොළ","අමු මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ මල්","අමු මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ ගෙඩි","අමු මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ ඇට","අමු මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ යුෂ","අමු මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ තෛලය","අමු මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"අමු වත්සනාභ චූර්ණය","අමු මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ මුල්","වියළි මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ පොතු","වියළි මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ කොළ","වියළි මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ මල්","වියළි මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ ගෙඩි","වියළි මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ ඇට","වියළි මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ යුෂ","වියළි මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ තෛලය","වියළි මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"වියළි වත්සනාභ චූර්ණය","වියළි මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ මුල්","පැරණි මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ පොතු","පැරණි මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ කොළ","පැරණි මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ මල්","පැරණි මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ ගෙඩි","පැරණි මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ ඇට","පැරණි මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ යුෂ","පැරණි මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ තෛලය","පැරණි මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"පැරණි වත්සනාභ චූර්ණය","පැරණි මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ මුල්","අලුත් මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ පොතු","අලුත් මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ කොළ","අලුත් මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ මල්","අලුත් මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ ගෙඩි","අලුත් මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ ඇට","අලුත් මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ යුෂ","අලුත් මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ තෛලය","අලුත් මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"අලුත් වත්සනාභ චූර්ණය","අලුත් මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ මුල්","ශුද්ධ මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ පොතු","ශුද්ධ මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ කොළ","ශුද්ධ මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ මල්","ශුද්ධ මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ ගෙඩි","ශුද්ධ මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ ඇට","ශුද්ධ මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ යුෂ","ශුද්ධ මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ තෛලය","ශුද්ධ මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"ශුද්ධ වත්සනාභ චූර්ණය","ශුද්ධ මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ මුල්","අශුද්ධ මීවිෂ, නාභි මුල්","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ පොතු","අශුද්ධ මීවිෂ, නාභි පොතු","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ කොළ","අශුද්ධ මීවිෂ, නාභි කොළ","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ මල්","අශුද්ධ මීවිෂ, නාභි මල්","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ ගෙඩි","අශුද්ධ මීවිෂ, නාභි ගෙඩි","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ ඇට","අශුද්ධ මීවිෂ, නාභි ඇට","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ යුෂ","අශුද්ධ මීවිෂ, නාභි යුෂ","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ තෛලය","අශුද්ධ මීවිෂ, නාභි තෛලය","High","ගොම දියරේ, එළකිරි"
"අශුද්ධ වත්සනාභ චූර්ණය","අශුද්ධ මීවිෂ, නාභි චූර්ණය","High","ගොම දියරේ, එළකිරි"
"අමු කණේරු මුල්","අමු කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"අමු කණේරු පොතු","අමු කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"අමු කණේරු කොළ","අමු කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"අමු කණේරු මල්","අමු කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"අමු කණේරු ගෙඩි","අමු කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"අමු කණේරු ඇට","අමු කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"අමු කණේරු යුෂ","අමු කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"අමු කණේරු තෛලය","අමු කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"අමු කණේරු චූර්ණය","අමු කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"වියළි කණේරු මුල්","වියළි කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"වියළි කණේරු පොතු","වියළි කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"වියළි කණේරු කොළ","වියළි කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"වියළි කණේරු මල්","වියළි කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"වියළි කණේරු ගෙඩි","වියළි කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"වියළි කණේරු ඇට","වියළි කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"වියළි කණේරු යුෂ","වියළි කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"වියළි කණේරු තෛලය","වියළි කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"වියළි කණේරු චූර්ණය","වියළි කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"පැරණි කණේරු මුල්","පැරණි කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"පැරණි කණේරු පොතු","පැරණි කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"පැරණි කණේරු කොළ","පැරණි කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"පැරණි කණේරු මල්","පැරණි කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"පැරණි කණේරු ගෙඩි","පැරණි කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"පැරණි කණේරු ඇට","පැරණි කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"පැරණි කණේරු යුෂ","පැරණි කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"පැරණි කණේරු තෛලය","පැරණි කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"පැරණි කණේරු චූර්ණය","පැරණි කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"අලුත් කණේරු මුල්","අලුත් කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"අලුත් කණේරු පොතු","අලුත් කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"අලුත් කණේරු කොළ","අලුත් කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"අලුත් කණේරු මල්","අලුත් කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"අලුත් කණේරු ගෙඩි","අලුත් කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"අලුත් කණේරු ඇට","අලුත් කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"අලුත් කණේරු යුෂ","අලුත් කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"අලුත් කණේරු තෛලය","අලුත් කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"අලුත් කණේරු චූර්ණය","අලුත් කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු මුල්","ශුද්ධ කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු පොතු","ශුද්ධ කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු කොළ","ශුද්ධ කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු මල්","ශුද්ධ කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු ගෙඩි","ශුද්ධ කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු ඇට","ශුද්ධ කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු යුෂ","ශුද්ධ කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු තෛලය","ශුද්ධ කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"ශුද්ධ කණේරු චූර්ණය","ශුද්ධ කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු මුල්","අශුද්ධ කරවීර, අශ්වමාරක මුල්","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු පොතු","අශුද්ධ කරවීර, අශ්වමාරක පොතු","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු කොළ","අශුද්ධ කරවීර, අශ්වමාරක කොළ","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු මල්","අශුද්ධ කරවීර, අශ්වමාරක මල්","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු ගෙඩි","අශුද්ධ කරවීර, අශ්වමාරක ගෙඩි","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු ඇට","අශුද්ධ කරවීර, අශ්වමාරක ඇට","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු යුෂ","අශුද්ධ කරවීර, අශ්වමාරක යුෂ","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු තෛලය","අශුද්ධ කරවීර, අශ්වමාරක තෛලය","High","එළකිරි, ජලය"
"අශුද්ධ කණේරු චූර්ණය","අශුද්ධ කරවීර, අශ්වමාරක චූර්ණය","High","එළකිරි, ජලය"
"අමු අත්තන මුල්","අමු දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"අමු අත්තන පොතු","අමු දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"අමු අත්තන කොළ","අමු දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"අමු අත්තන මල්","අමු දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"අමු අත්තන ගෙඩි","අමු දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"අමු අත්තන ඇට","අමු දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"අමු අත්තන යුෂ","අමු දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"අමු අත්තන තෛලය","අමු දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"අමු අත්තන චූර්ණය","අමු දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"වියළි අත්තන මුල්","වියළි දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"වියළි අත්තන පොතු","වියළි දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"වියළි අත්තන කොළ","වියළි දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"වියළි අත්තන මල්","වියළි දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"වියළි අත්තන ගෙඩි","වියළි දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"වියළි අත්තන ඇට","වියළි දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"වියළි අත්තන යුෂ","වියළි දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"වියළි අත්තන තෛලය","වියළි දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"වියළි අත්තන චූර්ණය","වියළි දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"පැරණි අත්තන මුල්","පැරණි දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"පැරණි අත්තන පොතු","පැරණි දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"පැරණි අත්තන කොළ","පැරණි දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"පැරණි අත්තන මල්","පැරණි දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"පැරණි අත්තන ගෙඩි","පැරණි දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"පැරණි අත්තන ඇට","පැරණි දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"පැරණි අත්තන යුෂ","පැරණි දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"පැරණි අත්තන තෛලය","පැරණි දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"පැරණි අත්තන චූර්ණය","පැරණි දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"අලුත් අත්තන මුල්","අලුත් දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"අලුත් අත්තන පොතු","අලුත් දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"අලුත් අත්තන කොළ","අලුත් දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"අලුත් අත්තන මල්","අලුත් දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"අලුත් අත්තන ගෙඩි","අලුත් දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"අලුත් අත්තන ඇට","අලුත් දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"අලුත් අත්තන යුෂ","අලුත් දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"අලුත් අත්තන තෛලය","අලුත් දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"අලුත් අත්තන චූර්ණය","අලුත් දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන මුල්","ශුද්ධ දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන පොතු","ශුද්ධ දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන කොළ","ශුද්ධ දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන මල්","ශුද්ධ දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන ගෙඩි","ශුද්ධ දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන ඇට","ශුද්ධ දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන යුෂ","ශුද්ධ දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන තෛලය","ශුද්ධ දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"ශුද්ධ අත්තන චූර්ණය","ශුද්ධ දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන මුල්","අශුද්ධ දත්තූර, කනක, උන්මත්ත මුල්","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන පොතු","අශුද්ධ දත්තූර, කනක, උන්මත්ත පොතු","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන කොළ","අශුද්ධ දත්තූර, කනක, උන්මත්ත කොළ","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන මල්","අශුද්ධ දත්තූර, කනක, උන්මත්ත මල්","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන ගෙඩි","අශුද්ධ දත්තූර, කනක, උන්මත්ත ගෙඩි","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන ඇට","අශුද්ධ දත්තූර, කනක, උන්මත්ත ඇට","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන යුෂ","අශුද්ධ දත්තූර, කනක, උන්මත්ත යුෂ","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන තෛලය","අශුද්ධ දත්තූර, කනක, උන්මත්ත තෛලය","High","එළකිරි, ජලය"
"අශුද්ධ අත්තන චූර්ණය","අශුද්ධ දත්තූර, කනක, උන්මත්ත චූර්ණය","High","එළකිරි, ජලය"
"අමු අබිං මුල්","අමු අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"අමු අබිං පොතු","අමු අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"අමු අබිං කොළ","අමු අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"අමු අබිං මල්","අමු අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"අමු අබිං ගෙඩි","අමු අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"අමු අබිං ඇට","අමු අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"අමු අබිං යුෂ","අමු අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"අමු අබිං තෛලය","අමු අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"අමු අබිං චූර්ණය","අමු අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"වියළි අබිං මුල්","වියළි අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"වියළි අබිං පොතු","වියළි අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"වියළි අබිං කොළ","වියළි අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"වියළි අබිං මල්","වියළි අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"වියළි අබිං ගෙඩි","වියළි අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"වියළි අබිං ඇට","වියළි අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"වියළි අබිං යුෂ","වියළි අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"වියළි අබිං තෛලය","වියළි අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"වියළි අබිං චූර්ණය","වියළි අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"පැරණි අබිං මුල්","පැරණි අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"පැරණි අබිං පොතු","පැරණි අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"පැරණි අබිං කොළ","පැරණි අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"පැරණි අබිං මල්","පැරණි අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"පැරණි අබිං ගෙඩි","පැරණි අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"පැරණි අබිං ඇට","පැරණි අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"පැරණි අබිං යුෂ","පැරණි අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"පැරණි අබිං තෛලය","පැරණි අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"පැරණි අබිං චූර්ණය","පැරණි අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"අලුත් අබිං මුල්","අලුත් අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"අලුත් අබිං පොතු","අලුත් අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"අලුත් අබිං කොළ","අලුත් අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"අලුත් අබිං මල්","අලුත් අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"අලුත් අබිං ගෙඩි","අලුත් අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"අලුත් අබිං ඇට","අලුත් අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"අලුත් අබිං යුෂ","අලුත් අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"අලුත් අබිං තෛලය","අලුත් අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"අලුත් අබිං චූර්ණය","අලුත් අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං මුල්","ශුද්ධ අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං පොතු","ශුද්ධ අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං කොළ","ශුද්ධ අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං මල්","ශුද්ධ අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං ගෙඩි","ශුද්ධ අහිපේන, ඛස්ඛස් ගෙඩි","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං ඇට","ශුද්ධ අහිපේන, ඛස්ඛස් ඇට","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං යුෂ","ශුද්ධ අහිපේන, ඛස්ඛස් යුෂ","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං තෛලය","ශුද්ධ අහිපේන, ඛස්ඛස් තෛලය","High","ඉඟුරු යුෂ"
"ශුද්ධ අබිං චූර්ණය","ශුද්ධ අහිපේන, ඛස්ඛස් චූර්ණය","High","ඉඟුරු යුෂ"
"අශුද්ධ අබිං මුල්","අශුද්ධ අහිපේන, ඛස්ඛස් මුල්","High","ඉඟුරු යුෂ"
"අශුද්ධ අබිං පොතු","අශුද්ධ අහිපේන, ඛස්ඛස් පොතු","High","ඉඟුරු යුෂ"
"අශුද්ධ අබිං කොළ","අශුද්ධ අහිපේන, ඛස්ඛස් කොළ","High","ඉඟුරු යුෂ"
"අශුද්ධ අබිං මල්","අශුද්ධ අහිපේන, ඛස්ඛස් මල්","High","ඉඟුරු යුෂ"
